left,right,similarity,matched_weight,compared_weight,matching_characteristics,differing_characteristics
Ammonite-Like Shell,Annulated Orthocone-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Ammonite-Like Shell,Crioceratite-Like Shell,0.333333,2,6,family; geometry,form; coiling; umbilicus; whorl_contact
Ammonite-Like Shell,Orthocone-Like Shell (cyrtocone),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Ammonite-Like Shell,Flared Shell,0.125000,1,8,geometry,family; form; coiling; umbilicus; whorl_contact; spire; aperture
Ammonite-Like Shell,Nautilus-Like Shell,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Ammonite-Like Shell,Orthocone-Like Shell (orthocone),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Ammonite-Like Shell,Ramshorn-Like Shell,0.500000,3,6,geometry; coiling; whorl_contact,family; form; umbilicus
Ammonite-Like Shell,Serpenticone Ammonite-Like Shell,0.666667,4,6,family; geometry; coiling; whorl_contact,form; umbilicus
Ammonite-Like Shell,Nautilus-Like Shell with Smooth Surface,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Ammonite-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Ammonite-Like Shell,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Annulated Orthocone-Like Shell,Crioceratite-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Annulated Orthocone-Like Shell,Orthocone-Like Shell (cyrtocone),0.600000,3,5,family; geometry; coiling,form; axis
Annulated Orthocone-Like Shell,Flared Shell,0.000000,0,7,,family; geometry; form; coiling; axis; spire; aperture
Annulated Orthocone-Like Shell,Nautilus-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Annulated Orthocone-Like Shell,Orthocone-Like Shell (orthocone),1.000000,5,5,family; geometry; form; coiling; axis,
Annulated Orthocone-Like Shell,Ramshorn-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Annulated Orthocone-Like Shell,Serpenticone Ammonite-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Annulated Orthocone-Like Shell,Nautilus-Like Shell with Smooth Surface,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Annulated Orthocone-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Annulated Orthocone-Like Shell,Turritella-Like Tower Shell (turritella),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Crioceratite-Like Shell,Orthocone-Like Shell (cyrtocone),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Crioceratite-Like Shell,Flared Shell,0.125000,1,8,geometry,family; form; coiling; umbilicus; whorl_contact; spire; aperture
Crioceratite-Like Shell,Nautilus-Like Shell,0.166667,1,6,geometry,family; form; coiling; umbilicus; whorl_contact
Crioceratite-Like Shell,Orthocone-Like Shell (orthocone),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Crioceratite-Like Shell,Ramshorn-Like Shell,0.166667,1,6,geometry,family; form; coiling; umbilicus; whorl_contact
Crioceratite-Like Shell,Serpenticone Ammonite-Like Shell,0.333333,2,6,family; geometry,form; coiling; umbilicus; whorl_contact
Crioceratite-Like Shell,Nautilus-Like Shell with Smooth Surface,0.166667,1,6,geometry,family; form; coiling; umbilicus; whorl_contact
Crioceratite-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Crioceratite-Like Shell,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Orthocone-Like Shell (cyrtocone),Flared Shell,0.000000,0,7,,family; geometry; form; coiling; axis; spire; aperture
Orthocone-Like Shell (cyrtocone),Nautilus-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (cyrtocone),Orthocone-Like Shell (orthocone),0.600000,3,5,family; geometry; coiling,form; axis
Orthocone-Like Shell (cyrtocone),Ramshorn-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (cyrtocone),Serpenticone Ammonite-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (cyrtocone),Nautilus-Like Shell with Smooth Surface,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (cyrtocone),Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Orthocone-Like Shell (cyrtocone),Turritella-Like Tower Shell (turritella),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Flared Shell,Nautilus-Like Shell,0.125000,1,8,geometry,family; form; coiling; umbilicus; whorl_contact; spire; aperture
Flared Shell,Orthocone-Like Shell (orthocone),0.000000,0,7,,family; geometry; form; coiling; axis; spire; aperture
Flared Shell,Ramshorn-Like Shell,0.250000,2,8,family; geometry,form; coiling; umbilicus; whorl_contact; spire; aperture
Flared Shell,Serpenticone Ammonite-Like Shell,0.125000,1,8,geometry,family; form; coiling; umbilicus; whorl_contact; spire; aperture
Flared Shell,Nautilus-Like Shell with Smooth Surface,0.125000,1,8,geometry,family; form; coiling; umbilicus; whorl_contact; spire; aperture
Flared Shell,Turritella-Like Tower Shell (turritella-helix),0.142857,1,7,family,geometry; form; coiling; whorl_contact; spire; aperture
Flared Shell,Turritella-Like Tower Shell (turritella),0.285714,2,7,family; geometry,form; coiling; whorl_contact; spire; aperture
Nautilus-Like Shell,Orthocone-Like Shell (orthocone),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Nautilus-Like Shell,Ramshorn-Like Shell,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Nautilus-Like Shell,Serpenticone Ammonite-Like Shell,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Nautilus-Like Shell,Nautilus-Like Shell with Smooth Surface,1.000000,6,6,family; geometry; form; coiling; umbilicus; whorl_contact,
Nautilus-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Nautilus-Like Shell,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Orthocone-Like Shell (orthocone),Ramshorn-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (orthocone),Serpenticone Ammonite-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (orthocone),Nautilus-Like Shell with Smooth Surface,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (orthocone),Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Orthocone-Like Shell (orthocone),Turritella-Like Tower Shell (turritella),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Ramshorn-Like Shell,Serpenticone Ammonite-Like Shell,0.666667,4,6,geometry; coiling; umbilicus; whorl_contact,family; form
Ramshorn-Like Shell,Nautilus-Like Shell with Smooth Surface,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Ramshorn-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.142857,1,7,family,geometry; form; coiling; umbilicus; whorl_contact; spire
Ramshorn-Like Shell,Turritella-Like Tower Shell (turritella),0.285714,2,7,family; geometry,form; coiling; umbilicus; whorl_contact; spire
Serpenticone Ammonite-Like Shell,Nautilus-Like Shell with Smooth Surface,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Serpenticone Ammonite-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Serpenticone Ammonite-Like Shell,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Nautilus-Like Shell with Smooth Surface,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Nautilus-Like Shell with Smooth Surface,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Turritella-Like Tower Shell (turritella-helix),Turritella-Like Tower Shell (turritella),0.833333,5,6,family; form; coiling; whorl_contact; spire,geometry
